C1,C2,C3,ISO,Target
1166,0,793,CA,false
10557,314,521,HK,false
2445,0,754,AU,false
5162,0,652,AU,false
5990,0,604,AU,false
3392,0,610,AU,false
1854,0,156,AU,true
1883,0,488,AU,false
2865,0,875,AU,true
3299,0,231,AU,false
1856,0,513,AU,false
2505,0,684,AU,false
4543,0,371,AU,false
5543,1958,895,CA,false
3345,0,666,AU,false
2325,0,599,AU,false
1647,0,389,AU,false
1332,0,16,AU,false
1030,0,804,AU,false
8503,0,141,AU,false
4346,0,452,AU,false
3098,0,318,AU,true
2345,0,984,AU,true
1042,0,839,AU,false
4362,0,83,AU,false
1168,0,31,AU,false
2818,0,850,AU,false
1038,0,872,AU,false
2818,0,922,AU,false
1895,0,667,AU,false
1641,0,388,AU,false
1030,0,368,AU,true
846,0,500,AU,false
4201,0,204,AU,false
1428,0,377,AU,false
2839,0,335,AU,false
2788,0,974,AU,false
2399,0,496,NZ,false
1403,0,658,AU,false
5499,0,42,AU,false
4838,0,875,AU,false
3799,0,255,NZ,false
1399,0,979,NZ,false
3999,0,305,NZ,false
15026,0,989,AU,false
3199,0,60,AU,false
32392,0,231,AU,true
1253,0,855,AU,false
3073,0,180,NZ,false
4939,0,729,NZ,false
3438,0,228,AU,false
1599,0,777,AU,false
93180,0,707,AU,false
3745,0,450,AU,false
1955,0,192,AU,false
3022,0,595,AU,false
2194,0,577,US,false
2093,570,624,CL,false
8223,0,657,US,false
4837,0,869,US,false
1668,0,603,US,false
703,0,641,US,false
1578,0,751,US,false
3874,0,498,US,false
1178,0,714,US,false
8252,0,95,US,true
1648,0,388,US,false
1958,300,513,BR,false
751,0,253,US,false
1837,0,200,US,false
4812,0,519,US,false
2048,0,78,US,false
1837,0,803,US,false
2009,0,560,US,false
1387,0,421,US,false
1697,0,959,US,false
2146,930,446,MX,false
4468,1946,838,MX,false
2157,476,915,MX,false
2333,798,845,MX,false
4746,2197,817,MX,false
2722,980,930,MX,false
486,0,326,US,false
1260,0,829,US,false
1009,0,827,US,false
627,0,256,US,false
3544,0,433,MX,false
2046,0,920,US,false
2127,0,595,US,true
2852,0,30,US,false
1122,0,212,US,false
2600,0,759,US,true
1806,0,514,US,false
2869,0,949,US,false
2334,0,411,US,false
3427,1134,265,DK,false
1274,0,351,US,false
6777,399,293,US,false
2652,399,417,US,false
2401,0,286,AU,false
2595,0,686,AU,false
3975,0,473,AU,false
1902,0,815,AU,false
1571,0,235,AU,false
3495,0,130,AU,true
3162,0,361,AU,true
1618,0,687,AU,false
2656,0,817,AU,false
1162,0,349,AU,false
7200,0,273,AU,false
2739,0,60,AU,false
2101,0,677,AU,false
3577,0,335,AU,false
7812,0,280,AU,false
3526,0,298,AU,false
3073,0,146,AU,false
18091,580,102,CA,false
2087,0,622,AU,false
1978,0,915,AU,false
24568,0,790,AU,false
2366,0,787,AU,false
1541,0,844,AU,false
1135,0,964,AU,true
1039,0,718,AU,false
3992,0,971,AU,false
1491,0,989,AU,false
2640,0,60,AU,false
11379,0,244,AU,false
1649,0,95,AU,false
1393,0,612,AU,false
1545,0,779,AU,false
1935,0,292,AU,false
1390,0,541,AU,false
3222,0,665,TH,false
2422,0,773,AU,false
1744,0,705,AU,false
3128,0,449,AU,false
1799,0,183,AU,false
7197,991,451,CA,false
3968,0,928,AU,false
2253,0,577,AU,false
1942,276,614,NO,false
